GIS_ID,Neighborhood Locations,Neighborhoods,CLUSTER,TotPop,PctBlackNonHispBridge,PctWhiteNonHispBridge,PctHisp,PctAsianPINonHispBridge,Total%Pop,PctUnemployed,AvgFamilyIncAdj,NumOccupiedHsgUnits,PctOwnerOccupiedHsgUnits,PctPoorPersons,Rate of Violent Crimes,Property Crimes,Year
Nbclus_031,Northeast,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",Cluster 31,16056,0.98,0.004,0.008,0.002,0.994,0.11,52492,5761,0.44,0.28,,,1/1/1990
Nbclus_032,Northeast,"River Terrace, Benning, Greenway, Fort Dupont",Cluster 32,13008,0.96,0.006,0.026,0.002,0.994,0.17,57825,5702,0.37,0.24,18,37,1/1/2010
Nbclus_032,Northeast,"River Terrace, Benning, Greenway, Fort Dupont",Cluster 32,12493,0.97,0.004,0.012,0.002,0.988,0.13,48887,5522,0.31,0.25,20,49,1/1/2000
Nbclus_032,Northeast,"River Terrace, Benning, Greenway, Fort Dupont",Cluster 32,14126,0.98,0.006,0.011,0.003,1,0.077,54481,6135,0.31,0.19,,,1/1/1990
Nbclus_033,Northeast,"Capitol View, Marshall Heights, Benning Heights",Cluster 33,14888,0.96,0.008,0.025,0.002,0.995,0.19,53239,5866,0.4,0.22,17,32,1/1/2010
Nbclus_033,Northeast,"Capitol View, Marshall Heights, Benning Heights",Cluster 33,15080,0.99,0.002,0.003,0.006,1.001,0.18,52133,5893,0.37,0.33,20,39,1/1/2000
Nbclus_033,Northeast,"Capitol View, Marshall Heights, Benning Heights",Cluster 33,18877,0.99,0.004,0.002,0.001,0.997,0.11,55028,7018,0.32,0.23,,,1/1/1990
Nbclus_034,Southeast,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Dupont Park",Cluster 34,14963,0.96,0.02,0.016,0.003,0.999,0.18,70274,6597,0.5,0.21,13,36,1/1/2010
Nbclus_034,Southeast,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Dupont Park",Cluster 34,15536,0.97,0.018,0.01,0.003,1.001,0.13,77239,6719,0.49,0.16,16,49,1/1/2000
Nbclus_034,Southeast,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Dupont Park",Cluster 34,17404,0.95,0.042,0.005,0.001,0.998,0.064,77001,6928,0.48,0.1,,,1/1/1990
Nbclus_035,Southeast,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",Cluster 35,7688,0.93,0.046,0.019,0.004,0.999,0.13,72747,3871,0.43,0.17,13,35,1/1/2010
Nbclus_035,Southeast,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",Cluster 35,8025,0.93,0.049,0.014,0.004,0.997,0.078,77872,3883,0.44,0.15,14,49,1/1/2000
Nbclus_035,Southeast,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",Cluster 35,8756,0.85,0.12,0.024,0.007,1.001,0.034,80753,4093,0.46,0.11,,,1/1/1990
Nbclus_036,Southeast,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,7572,0.98,0.008,0.012,0.002,1.002,0.2,45220,2725,0.19,0.45,16,28,1/1/2010
Nbclus_036,Southeast,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,6395,0.99,0.006,0.002,0.003,1.001,0.22,37759,2347,0.15,0.47,27,27,1/1/2000
Nbclus_036,Southeast,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,7473,0.97,0.016,0.014,0,1,0.15,41655,2394,0.091,0.35,,,1/1/1990
Nbclus_037,Southeast,"Sheridan, Barry Farm, Buena Vista",Cluster 37,8071,0.97,0.007,0.017,0.002,0.996,0.23,38015,2851,0.17,0.41,22,41,1/1/2010
Nbclus_037,Southeast,"Sheridan, Barry Farm, Buena Vista",Cluster 37,8596,0.99,0.007,0.002,0.003,1.002,0.26,31957,2745,0.15,0.46,25,34,1/1/2000
Nbclus_037,Southeast,"Sheridan, Barry Farm, Buena Vista",Cluster 37,8235,1,0.001,0.001,0.001,1.003,0.14,41880,2643,0.17,0.34,,,1/1/1990
Nbclus_038,Southeast," Douglass, Shipley Terrace",Cluster 38,9710,0.98,0.006,0.013,0.002,1.001,0.21,38427,3628,0.14,0.38,20,40,1/1/2010
Nbclus_038,Southeast," Douglass, Shipley Terrace",Cluster 38,9058,0.99,0.001,0.008,0.002,1.001,0.28,36226,3196,0.13,0.46,21,29,1/1/2000
Nbclus_038,Southeast," Douglass, Shipley Terrace",Cluster 38,9532,0.99,0.001,0.002,0.002,0.995,0.16,39479,3372,0.12,0.35,,,1/1/1990
Nbclus_039,Southeast,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,30959,0.97,0.008,0.014,0.002,0.994,0.25,41605,12474,0.26,0.36,22,48,1/1/2010
Nbclus_039,Southeast,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,30583,0.97,0.01,0.008,0.006,0.994,0.2,47873,11577,0.24,0.34,26,36,1/1/2000
Nbclus_039,Southeast,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,36478,0.98,0.011,0.004,0.001,0.996,0.13,47805,13379,0.2,0.27,,,1/1/1990
Nbclus_004,Northwest,"Georgetown, Burleith/Hillandale",Cluster 4,20464,0.037,0.81,0.064,0.084,0.995,0.029,304995,7375,0.55,0.11,5,41,1/1/2010
Nbclus_004,Northwest,"Georgetown, Burleith/Hillandale",Cluster 4,18741,0.037,0.85,0.042,0.066,0.995,0.021,272708,7446,0.52,0.15,6.6,54,1/1/2000
Nbclus_004,Northwest,"Georgetown, Burleith/Hillandale",Cluster 4,17919,0.041,0.86,0.056,0.044,1.001,0.024,228758,7004,0.48,0.16,,,1/1/1990
Nbclus_005,Northwest,"West End, Foggy Bottom, GWU",Cluster 5,16160,0.067,0.75,0.057,0.12,0.994,0.036,211064,6413,0.31,0.29,3,22,1/1/2010
Nbclus_005,Northwest,"West End, Foggy Bottom, GWU",Cluster 5,11723,0.061,0.75,0.053,0.13,0.994,0.28,259442,5811,0.29,0.28,3.8,54,1/1/2000
Nbclus_005,Northwest,"West End, Foggy Bottom, GWU",Cluster 5,11104,0.051,0.82,0.047,0.072,0.99,0.043,224514,5787,0.3,0.21,,,1/1/1990
Nbclus_006,Northwest,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,17318,0.077,0.73,0.082,0.11,0.999,0.034,177893,11413,0.32,0.13,13,89,1/1/2010
Nbclus_006,Northwest,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,16930,0.091,0.72,0.092,0.086,0.989,0.025,162208,11607,0.3,0.11,17,172,1/1/2000
Nbclus_006,Northwest,"Dupont Circle, Connecticut Avenue/K Street",Cluster 6,16216,0.14,0.65,0.15,0.061,1.001,0.026,121160,10491,0.28,0.11,,,1/1/1990
Nbclus_007,Northwest," Shaw, Logan Circle",Cluster 7,23895,0.29,0.48,0.15,0.078,0.998,0.049,123697,13475,0.34,0.12,12,40,1/1/2010
Nbclus_007,Northwest," Shaw, Logan Circle",Cluster 7,20865,0.5,0.25,0.18,0.059,0.989,0.082,67097,10512,0.23,0.25,16,54,1/1/2000
Nbclus_007,Northwest," Shaw, Logan Circle",Cluster 7,19867,0.65,0.22,0.095,0.027,0.992,0.097,59733,9179,0.18,0.25,,,1/1/1990
Nbclus_008,Northwest,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,13560,0.37,0.43,0.059,0.14,0.999,0.12,142881,7543,0.28,0.26,19,93,1/1/2010
Nbclus_008,Northwest,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,8609,0.71,0.16,0.042,0.081,0.993,0.2,56782,3831,0.093,0.33,54,312,1/1/2000
Nbclus_008,Northwest,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,8300,0.77,0.12,0.022,0.084,0.996,0.15,41013,3135,0.049,0.36,,,1/1/1990
Nbclus_009,Southwest,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,11588,0.56,0.33,0.052,0.052,0.994,0.079,94339,6787,0.42,0.19,9.4,34,1/1/2010
Nbclus_009,Southwest,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,11779,0.67,0.25,0.043,0.024,0.987,0.093,66086,6965,0.33,0.22,17,67,1/1/2000
Nbclus_009,Southwest,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Cluster 9,11592,0.6,0.34,0.028,0.021,0.989,0.086,86937,6361,0.37,0.2,,,1/1/1990
,,n/a,NonCluster- area,7244,0.48,0.4,0.077,0.037,0.994,0.12,64548,2410,0.14,0.22,8.8,41,1/1/2010
,,n/a,NonCluster- area,8289,0.45,0.43,0.082,0.035,0.997,0.21,73946,1954,0.1,0.15,9.3,66,1/1/2000
,,n/a,NonCluster- area,15299,0.43,0.49,0.048,0.03,0.998,0.11,67456,2355,0.068,0.11,,,1/1/1990
